Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Symbol
2025-10-08 13:30:00,4476.78,4481.59,4439.75,4476.29,17023.4286,2025-10-08 13:59:59.999,75944258.534822,244770,7777.1588,34697827.42761,ETHUSDT
2025-10-08 14:00:00,4476.29,4522.6,4476.2,4486.16,20986.6275,2025-10-08 14:29:59.999,94502646.311262,226170,11823.7174,53241054.19671,ETHUSDT
2025-10-08 14:30:00,4486.16,4496.69,4438.87,4450.09,15412.8286,2025-10-08 14:59:59.999,68788051.777701,187878,7314.8447,32650653.862755,ETHUSDT
2025-10-08 15:00:00,4450.1,4469.34,4437.08,4460.38,11242.3657,2025-10-08 15:29:59.999,50047674.900537,163111,5285.6686,23538296.964556,ETHUSDT
2025-10-08 15:30:00,4460.38,4460.87,4440.27,4447.14,5738.3616,2025-10-08 15:59:59.999,25545877.302538,125326,2451.3012,10912104.71043,ETHUSDT
2025-10-08 16:00:00,4447.15,4465.36,4439.0,4463.89,9442.9638,2025-10-08 16:29:59.999,42053012.815844,128496,5496.7401,24490528.859658,ETHUSDT
2025-10-08 16:30:00,4463.89,4499.0,4455.21,4496.35,10958.4632,2025-10-08 16:59:59.999,49119972.386741,98637,6733.5592,30183606.631988,ETHUSDT
2025-10-08 17:00:00,4496.35,4547.0,4490.0,4539.36,23092.8393,2025-10-08 17:29:59.999,104447944.985449,160488,14692.7851,66459461.821262,ETHUSDT
2025-10-08 17:30:00,4539.36,4558.0,4524.89,4538.46,13060.2313,2025-10-08 17:59:59.999,59310344.738254,122241,6280.3538,28521599.471986,ETHUSDT
2025-10-08 18:00:00,4538.47,4543.95,4525.76,4529.84,7032.4508,2025-10-08 18:29:59.999,31889768.216096,104169,3798.1705,17226213.905303,ETHUSDT
2025-10-08 18:30:00,4529.84,4536.11,4513.22,4523.48,9965.9462,2025-10-08 18:59:59.999,45091007.759201,101300,4331.5589,19601804.055671,ETHUSDT
2025-10-08 19:00:00,4523.48,4526.67,4500.0,4516.73,15799.7367,2025-10-08 19:29:59.999,71192404.408851,91957,4647.3791,20955759.499753,ETHUSDT
2025-10-08 19:30:00,4516.73,4526.09,4509.22,4515.27,5302.0083,2025-10-08 19:59:59.999,23952699.389788,65120,2716.1818,12273376.920336,ETHUSDT
2025-10-08 20:00:00,4515.28,4527.06,4505.04,4520.98,3863.5001,2025-10-08 20:29:59.999,17449565.459889,60864,2193.3959,9908402.391185,ETHUSDT
