Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Symbol,SMA_5,EMA_5,SMA_10,EMA_10,SMA_20,EMA_20,SMA_50,EMA_50,RSI,BB_Middle,BB_Std,BB_Upper,BB_Lower
2025-10-07 19:30:00,4462.53,4495.3,4459.15,4479.44,12480.4409,2025-10-07 19:59:59.999,55881907.287136,112590,6167.9157,27615875.564171,ETHUSDT,,4479.44,,4479.44,,4479.44,,4479.44,,,,,
2025-10-07 20:00:00,4479.48,4513.41,4476.22,4512.45,10079.6156,2025-10-07 20:29:59.999,45358783.241044,93731,5880.3183,26457001.169776,ETHUSDT,,4499.246,,4497.5955,,4496.7702500000005,,4496.275099999999,,,,,
2025-10-07 20:30:00,4512.45,4517.09,4505.76,4509.3,5470.1158,2025-10-07 20:59:59.999,24683529.162529,72218,2665.8265,12030236.534253,ETHUSDT,,4504.008421052631,,4502.300631229236,,4501.371099084097,,4500.791533128917,,,,,
2025-10-07 21:00:00,4509.29,4513.98,4500.78,4512.45,4527.2953,2025-10-07 21:29:59.999,20413818.066631,77404,1760.3498,7937423.980238,ETHUSDT,,4507.514923076923,,4505.6443960396045,,4504.569406483791,,4503.883310995602,,,,,
2025-10-07 21:30:00,4512.45,4512.56,4480.44,4493.46,5799.6909,2025-10-07 21:59:59.999,26073545.265338,84614,1968.6384,8847377.597124,ETHUSDT,4501.42,4502.119431279621,,4502.146587321818,,4501.882135594359,,4501.628609421947,,,,,
2025-10-07 22:00:00,4493.47,4506.06,4483.11,4499.74,4412.1294,2025-10-07 22:29:59.999,19839822.210378,93599,2507.83,11278602.457665,ETHUSDT,4505.4800000000005,4501.249954887218,,4501.521513466439,,4501.43024283114,,4501.281542665234,,,,,
2025-10-07 22:30:00,4499.74,4505.4,4491.79,4498.19,3289.6541,2025-10-07 22:59:59.999,14800466.014965,51956,1545.4067,6953173.565283,ETHUSDT,4502.628,4500.166561437591,,4500.718752551142,,4500.8175931136475,,4500.785167201977,,,,,
2025-10-07 23:00:00,4498.2,4499.29,4469.17,4473.34,7869.445,2025-10-07 23:29:59.999,35286675.657403,85738,3495.7481,15678578.306649,ETHUSDT,4495.436,4490.8612973830295,,4494.489954400085,,4496.0679530748175,,4496.855441060325,,,,,
2025-10-07 23:30:00,4473.35,4473.35,4430.43,4447.7,13893.7578,2025-10-07 23:59:59.999,61824682.247675,128276,5098.5382,22682573.964145,ETHUSDT,4482.486,4476.089961921653,,4484.310097702787,,4488.309496893857,,4490.479986634428,,,,,
2025-10-08 00:00:00,4447.7,4466.58,4445.61,4456.44,11684.331,2025-10-08 00:29:59.999,52068870.284033,122068,7302.7357,32539087.517827,ETHUSDT,4475.082,4469.424383283067,4488.250999999999,4478.45581186142,,4483.510226805547,,4486.431342945098,,,,,
2025-10-08 00:30:00,4456.44,4481.02,4434.31,4471.6,10444.27,2025-10-08 00:59:59.999,46590181.797958,145664,5328.3751,23783948.502417,ETHUSDT,4469.454,4470.1580710341,4487.467,4477.055255209092,,4481.810722896412,,4484.7975815598675,,,,,
2025-10-08 01:00:00,4471.6,4487.25,4457.5,4480.04,7096.8907,2025-10-08 01:29:59.999,31731209.561567,121506,2887.2905,12916414.872767,ETHUSDT,4465.824,4473.477632365908,4484.226000000001,4477.651601755627,,4481.56950058371,,4484.30822081822,,,,,
2025-10-08 01:30:00,4480.05,4489.36,4475.9,4483.02,4327.1312,2025-10-08 01:59:59.999,19397904.866911,90704,2163.8178,9701576.187712,ETHUSDT,4467.76,4476.674849618348,4481.598,4478.705253258243,,4481.759318783322,,4484.183644031195,,,,,
2025-10-08 02:00:00,4483.03,4498.22,4476.26,4497.43,5208.117,2025-10-08 02:29:59.999,23375430.501126,85903,2972.0372,13340427.764602,ETHUSDT,4477.706,4483.617013373307,4480.096,4482.32799281677,,4483.7395014270705,,4485.394987885596,55.407273820258716,,,,
2025-10-08 02:30:00,4497.44,4498.0,4471.34,4480.83,7125.825,2025-10-08 02:59:59.999,31944080.306992,74689,2862.6649,12835337.390694,ETHUSDT,4482.584000000001,4482.685882530898,4478.8330000000005,4482.041510127085,,4483.382947696558,,4484.998254004516,50.37988521453958,,,,
2025-10-08 03:00:00,4480.83,4480.83,4435.75,4441.73,10604.0584,2025-10-08 03:29:59.999,47243310.292858,138772,3177.4883,14150102.646438,ETHUSDT,4476.61,4469.013105720795,4473.032,4474.404152005497,,4478.414157561072,,4481.409073649241,31.294964028776903,,,,
2025-10-08 03:30:00,4441.74,4450.64,4433.68,4443.6,6688.3345,2025-10-08 03:59:59.999,29707343.008589,139350,3234.7813,14368880.804136,ETHUSDT,4469.322,4460.533463989915,4467.573,4468.612295275393,,4474.358710543018,,4478.4041653012355,32.50426075841516,,,,
2025-10-08 04:00:00,4443.59,4452.84,4410.08,4446.74,18971.4742,2025-10-08 04:29:59.999,84066915.248632,169820,9914.9953,43953583.765384,ETHUSDT,4462.066000000001,4455.932529485992,4464.913,4464.52517918637,,4471.208395243261,,4475.985023818123,32.50066577896145,,,,
